,エントリー時間,決済時間,取引方向,エントリー価格,決済価格,損益(pips),損益(円),決済理由,戦略,ロットサイズ
0,2020-03-09 08:45:00,2020-03-09 09:00:00,買い,101.349,101.94085714285714,59.185714285713686,5.918571428571369,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
1,2020-04-14 12:15:00,2020-04-14 15:00:00,買い,107.06,107.21971428571429,15.971428571428703,1.5971428571428703,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
2,2020-04-28 09:00:00,2020-04-28 09:45:00,買い,106.63900000000001,106.78928571428573,15.028571428571524,1.5028571428571524,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
3,2020-04-28 09:45:00,2020-04-28 10:45:00,買い,106.69800000000001,106.85171428571428,15.37142857142726,1.537142857142726,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
4,2020-04-29 04:00:00,2020-04-29 04:45:00,買い,106.408,106.50928571428571,10.128571428570865,1.0128571428570865,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
5,2020-05-11 09:00:00,2020-05-11 09:45:00,売り,107.407,107.50453571428572,-9.753571428572627,-0.9753571428572627,損切り,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
6,2020-05-11 10:00:00,2020-05-11 11:00:00,売り,107.475,107.58882142857144,-11.382142857144117,-1.1382142857144117,損切り,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
7,2020-05-11 11:15:00,2020-05-11 14:30:00,売り,107.622,107.75821428571429,-13.62142857142885,-1.362142857142885,損切り,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
8,2020-07-10 05:00:00,2020-07-10 07:45:00,買い,106.76,106.851,9.099999999999397,0.9099999999999397,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
9,2020-07-27 02:45:00,2020-07-27 03:30:00,買い,105.423,105.55342857142857,13.04285714285669,1.304285714285669,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
10,2020-08-12 08:00:00,2020-08-12 08:30:00,売り,106.946,106.85742857142857,8.857142857142719,0.8857142857142719,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
11,2020-08-12 08:30:00,2020-08-12 08:45:00,売り,106.951,106.84342857142857,10.757142857141844,1.0757142857141844,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
12,2020-08-12 08:45:00,2020-08-12 09:00:00,売り,106.905,106.78114285714287,12.385714285713334,1.2385714285713334,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
13,2020-08-18 02:45:00,2020-08-18 03:00:00,買い,105.497,105.4225,-7.4500000000000455,-0.7450000000000045,損切り,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
14,2020-08-18 03:15:00,2020-08-18 04:00:00,買い,105.426,105.54014285714285,11.4142857142852,1.14142857142852,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
15,2020-09-15 08:15:00,2020-09-15 09:15:00,買い,105.43900000000001,105.34864285714286,-9.035714285714391,-0.9035714285714391,損切り,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
16,2020-09-15 10:00:00,2020-09-15 11:00:00,買い,105.358,105.49385714285714,13.58571428571338,1.358571428571338,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
17,2020-09-17 08:00:00,2020-09-17 09:30:00,買い,104.54,104.68614285714287,14.614285714286268,1.4614285714286268,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
18,2020-09-17 09:30:00,2020-09-17 11:00:00,買い,104.622,104.78028571428571,15.828571428571081,1.582857142857108,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
19,2020-10-28 00:00:00,2020-10-28 02:00:00,買い,104.24300000000001,104.17460714285716,-6.839285714285381,-0.6839285714285381,損切り,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
20,2020-10-28 02:15:00,2020-10-28 03:30:00,買い,104.18400000000001,104.26828571428572,8.428571428571274,0.8428571428571274,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
21,2020-11-09 12:00:00,2020-11-09 17:30:00,売り,105.583,105.27728571428571,30.571428571428783,3.0571428571428783,利確,複数時間足拡張版ボリンジャーバンド＋RSI逆張り,0.01
